year,women,of_women_ceos
1970,0,0
1971,0,0
1972,1,0.2
1973,1,0.2
1974,2,0.4
1975,2,0.4
1976,2,0.4
1977,2,0.4
1978,2,0.4
1979,2,0.4
1980,2,0.4
1981,2,0.4
1982,2,0.4
1983,2,0.4
1984,2,0.4
1985,2,0.4
1986,2,0.4
1987,3,0.6
1988,3,0.6
1989,3,0.6
1990,3,0.6
1991,3,0.6
1992,3,0.6
1993,2,0.4
1994,2,0.4
1995,0,0
1996,1,0.2
1997,2,0.4
1998,2,0.4
1999,2,0.4
2000,2,0.4
2001,3,0.6
2002,7,1.4
2003,7,1.4
2004,8,1.6
2005,9,1.8
2006,10,2
2007,13,2.6
2008,12,2.4
2009,15,3
2010,15,3
2011,12,2.4
2012,18,3.6
2013,20,4
2014,24,4.8
2015,24,4.8
2016,21,4.2
2017,32,6.4
2018,24,4.8
2019,33,6.6
2020,37,7.4
